Player,Squad,Pos,Season,Games,Minutes,Goals,Assists,xG,xA,NonPenaltyGoals,Per90_G+A-PK,Shots,KeyPasses,YellowCards,RedCards
Taiwo Awoniyi,Nott'm Forest,FW,2024-2025,26,363,1,0,2.418665297329426,0.0885970722883939,1,0.24793388429752067,10,2,0,0
João Félix,Chelsea,MF,2024-2025,12,343,1,1,2.64809543825686,0.6843841634690762,1,0.5247813411078718,20,6,2,0
Reece James,Chelsea,DF,2024-2025,19,1062,1,1,0.5808683261275291,1.3240125216543674,1,0.1694915254237288,11,11,1,0
Kieran Tierney,Arsenal,DF,2024-2025,13,227,1,0,0.9213433265686036,1.199159286916256,1,0.39647577092511016,2,8,0,0
Neco Williams,Nott'm Forest,DF,2024-2025,35,2579,1,3,3.0044789891690016,1.7043100725859404,1,0.13958898797983715,37,18,7,0
William Smallbone,Southampton,MF,2024-2025,18,657,1,0,0.6896725203841925,0.5868444573134184,1,0.136986301369863,7,10,1,0
Chris Richards,Crystal Palace,DF,2024-2025,24,1925,1,0,1.6956392526626587,0.114281041547656,1,0.046753246753246755,12,2,2,1
Taylor Harwood-Bellis,Southampton,DF,2024-2025,34,2832,1,0,2.1951861269772053,1.9898590259253977,1,0.03177966101694915,20,14,9,0
Wout Faes,Leicester,DF,2024-2025,34,2799,1,0,1.563155423849821,0.1705409092828631,1,0.03215434083601286,12,4,4,0
Jack Harrison,Everton,FW,2024-2025,34,2102,1,0,3.3758146427571774,3.650003883987665,1,0.0428163653663178,29,33,0,0
Maxence Lacroix,Crystal Palace,DF,2024-2025,35,3126,1,1,2.7525001103058457,1.6881468072533607,1,0.05758157389635316,30,8,5,0
Matthew Cash,Aston Villa,DF,2024-2025,27,2085,1,1,0.4955384666100144,1.4866319708526134,1,0.08633093525179855,13,10,7,0
Leif Davis,Ipswich,DF,2024-2025,33,2760,1,2,0.798027765005827,6.061805084347725,1,0.09782608695652173,16,61,5,1
Jacob Ramsey,Aston Villa,FW,2024-2025,29,1665,1,3,1.4540390092879534,2.891221077181399,1,0.21621621621621623,19,21,2,1
Chimuanya Ugochukwu,Southampton,MF,2024-2025,26,1689,1,1,0.8239525118842721,0.9677973967045546,1,0.10657193605683837,10,14,7,0
Moisés Caicedo,Chelsea,DF,2024-2025,38,3381,1,2,0.6911019859835505,2.924944289028645,1,0.07985803016858917,20,29,11,0
Crysencio Summerville,West Ham,FW,2024-2025,19,760,1,1,1.8140362668782477,2.1587705314159398,1,0.23684210526315788,14,17,2,0
Daniel Jebbison,Bournemouth,,2024-2025,16,62,1,0,1.7295908629894257,0.2071749344468116,1,1.4516129032258065,5,3,1,0
William Osula,Newcastle,,2024-2025,14,107,1,0,0.2826921939849853,0.1338628381490707,1,0.8411214953271028,4,2,0,0
Kamaldeen Sulemana,Southampton,FW,2024-2025,26,1405,1,1,1.5610322337597609,1.2623700015246868,1,0.12811387900355872,29,10,2,0
Vitaly Janelt,Brentford,DF,2024-2025,32,2303,1,3,0.9458270631730556,2.358839701861143,1,0.15631784628745116,14,14,3,0
Patson Daka,Leicester,FW,2024-2025,23,686,1,0,1.767653119750321,0.0259240753948688,1,0.13119533527696794,15,1,0,0
Nico González,Man City,MF,2024-2025,11,767,1,0,0.8193094208836555,0.0815559178590774,1,0.11734028683181226,9,1,3,0
Jakub Kiwior,Arsenal,DF,2024-2025,17,1102,1,0,0.2143479213118553,0.5097704380750656,1,0.08166969147005446,3,5,1,0
Kasey McAteer,Leicester,MF,2024-2025,18,854,1,1,1.4462989773601294,0.905257573351264,1,0.2107728337236534,13,9,3,0
Evan Ferguson,"Brighton,West Ham",FW,2024-2025,21,341,1,0,1.4812848791480064,0.7929156944155693,1,0.26392961876832843,12,5,0,0
Vitalii Mykolenko,Everton,DF,2024-2025,35,3085,1,2,0.6015322427265346,3.0272322706878185,1,0.08752025931928686,14,24,4,0
Jens Cajuste,Ipswich,MF,2024-2025,30,2019,1,1,0.6125177554786205,0.6245124880224466,1,0.08915304606240713,12,13,2,0
Djed Spence,Tottenham,DF,2024-2025,25,1784,1,2,0.417020246386528,1.8481179997324944,1,0.15134529147982062,10,11,2,1
Jan Paul van Hecke,Brighton,DF,2024-2025,34,2962,1,1,1.0002109874039888,1.558699306100607,1,0.06076975016880486,17,16,6,1
Keane Lewis-Potter,Brentford,DF,2024-2025,38,3131,1,3,3.2576067624613643,3.338346378877759,1,0.11497923985946981,28,26,7,0
Wilson Odobert,Tottenham,FW,2024-2025,16,845,1,0,2.115951618179679,0.8556916369125247,1,0.10650887573964496,13,6,0,0
Flynn Downes,Southampton,DF,2024-2025,27,2175,1,0,0.8941574329510331,1.6155836284160614,1,0.041379310344827586,10,15,12,0
Rico Lewis,Man City,DF,2024-2025,28,1903,1,2,1.6414977870881555,0.3464172556996345,1,0.1418812401471361,10,7,3,1
Emmanuel Agbadou,Wolves,DF,2024-2025,16,1414,1,0,0.69438168220222,0.1891781575977802,1,0.06364922206506365,7,4,3,0
Luis Sinisterra,Bournemouth,MF,2024-2025,12,221,1,1,1.7229826282709837,1.762933598831296,1,0.8144796380090498,13,8,0,0
Matheus Nunes,Man City,DF,2024-2025,26,1673,1,6,1.189816527068615,3.9489037338644266,1,0.37656903765690375,9,23,4,0
Brajan Gruda,Brighton,FW,2024-2025,21,684,1,4,1.0134435147047045,2.2726940251886845,1,0.6578947368421053,11,23,0,0
Lewis Miley,Newcastle,MF,2024-2025,14,274,1,0,0.2039504423737526,0.0893867462873458,1,0.3284671532846716,3,1,0,0
Jurriën Timber,Arsenal,DF,2024-2025,30,2443,1,3,1.3132512997835877,1.1326866932213306,1,0.14735980352026196,14,17,7,0
Calvin Bassey,Fulham,DF,2024-2025,35,3072,1,0,1.1175763411447406,0.1130702113732695,1,0.029296875,14,3,7,0
Sávio,Man City,FW,2024-2025,29,1801,1,8,5.246914088726044,6.9446608647704124,1,0.44975013881177117,55,45,3,0
Manuel Ugarte,Man United,MF,2024-2025,29,1802,1,2,1.087446665391326,1.616088747046888,1,0.14983351831298558,19,10,11,0
Ian Maatsen,Aston Villa,DF,2024-2025,29,1073,1,2,0.979834190569818,3.0338974483311176,1,0.2516309412861137,19,19,2,0
Matheus França,Crystal Palace,,2024-2025,4,45,1,0,0.4079460725188255,0.0,1,2.0,6,0,0,0
Myles Lewis-Skelly,Arsenal,DF,2024-2025,23,1371,1,0,0.2544533908367157,0.4991668798029423,1,0.06564551422319476,3,8,3,2
Tyrique George,Chelsea,FW,2024-2025,8,162,1,1,0.3738933689892292,1.0261513106524944,1,1.1111111111111112,3,6,1,0
Jacob Greaves,Ipswich,DF,2024-2025,25,2208,1,0,1.4357987744733691,0.2260055681690573,1,0.04076086956521739,10,6,5,0
Sam Morsy,Ipswich,MF,2024-2025,33,2767,1,1,0.2957767499610781,1.4169819168746471,1,0.06505240332490062,13,24,9,0
Conor Chaplin,Ipswich,FW,2024-2025,22,851,1,1,1.434986375272274,0.7888719039037824,1,0.21151586368977673,16,8,2,0
Jack Taylor,Ipswich,MF,2024-2025,32,777,1,0,0.5857022814452648,0.7670453414320946,1,0.11583011583011583,19,5,4,0
Mats Wieffer,Brighton,DF,2024-2025,25,988,1,3,1.0993042346090078,1.0669435421004891,1,0.3643724696356275,9,15,6,0
Yukinari Sugawara,Southampton,DF,2024-2025,30,1533,1,1,0.4496091231703758,3.2835169788450003,1,0.11741682974559686,14,17,4,0
Ramón Sosa,Nott'm Forest,MF,2024-2025,19,246,1,0,1.1310514248907566,0.6833146139979362,1,0.36585365853658536,11,8,1,0
Justin Devenny,Crystal Palace,MF,2024-2025,23,472,1,1,1.1472182907164097,0.6334958653897047,1,0.3813559322033898,10,7,1,0
Ross Stewart,Southampton,FW,2024-2025,12,379,1,0,0.8806956596672535,0.0,1,0.23746701846965698,9,0,1,0
Ferdi Kadioglu,Brighton,DF,2024-2025,6,401,1,0,0.6023932620882988,0.1645598961040377,1,0.22443890274314213,4,5,1,0
Diego Gómez,Brighton,MF,2024-2025,16,487,1,0,0.8773256950080395,1.5821922849863768,1,0.18480492813141683,9,9,0,0
Romain Esse,Crystal Palace,MF,2024-2025,7,124,1,1,0.5787168145179749,0.3007222488522529,1,1.4516129032258065,1,3,0,0
Timo Werner,Tottenham,FW,2024-2025,18,488,0,3,0.953228548169136,3.0806511119008064,0,0.5532786885245902,8,10,0,0
Jannik Vestergaard,Leicester,DF,2024-2025,18,1411,0,0,0.1115449527278542,0.0718512497842311,0,0.0,3,3,5,0
Bernd Leno,Fulham,GK,2024-2025,38,3420,0,1,0.0,0.31894351541996,0,0.02631578947368421,0,2,5,0
Callum Wilson,Newcastle,FW,2024-2025,18,313,0,0,0.7507430538535118,0.1887170672416687,0,0.0,6,3,1,0
Danny Ward,Leicester,GK,2024-2025,2,132,0,0,0.0,0.0,0,0.0,0,0,0,0
Adam Lallana,Southampton,MF,2024-2025,14,342,0,2,0.1523155756294727,0.5534783098846674,0,0.5263157894736842,3,4,4,0
James Milner,Brighton,MF,2024-2025,4,177,0,0,0.1920489966869354,0.2607630733400583,0,0.0,2,4,1,0
Joel Ward,Crystal Palace,DF,2024-2025,2,75,0,0,0.0,0.0684693977236747,0,0.0,0,1,1,0
Aaron Cresswell,West Ham,DF,2024-2025,18,821,0,0,0.1508999690413475,1.589625921100378,0,0.0,5,9,3,0
Nathan Aké,Man City,DF,2024-2025,10,684,0,0,0.2418667152523994,0.0160249359905719,0,0.0,3,1,0,0
Seamus Coleman,Everton,DF,2024-2025,5,213,0,0,0.4752198457717895,0.0,0,0.0,1,0,1,0
Nathaniel Clyne,Crystal Palace,DF,2024-2025,13,483,0,0,0.0234091719612479,0.1613760516047477,0,0.0,2,3,1,0
Raheem Sterling,Arsenal,FW,2024-2025,17,486,0,2,0.9707838203758,0.5390832684934139,0,0.37037037037037035,10,8,1,0
Alex McCarthy,Southampton,GK,2024-2025,5,450,0,0,0.0,0.0,0,0.0,0,0,0,0
Kyle Walker,Man City,DF,2024-2025,15,968,0,0,0.1098661832511425,0.7247695401310921,0,0.0,5,7,3,0
Kieran Trippier,Newcastle,DF,2024-2025,25,1311,0,3,0.1578787304461002,1.8058830378577115,0,0.20594965675057209,4,21,1,0
Ben Davies,Tottenham,DF,2024-2025,17,1325,0,0,0.3614495517686009,0.0991829298436641,0,0.0,5,2,5,0
Idrissa Gueye,Everton,MF,2024-2025,37,3090,0,3,1.0407873457297685,2.416206769645214,0,0.08737864077669902,27,19,8,0
Willian,Fulham,FW,2024-2025,10,240,0,0,0.2559743635356426,0.2961952313780784,0,0.0,7,7,0,0
Lukasz Fabianski,West Ham,GK,2024-2025,14,1157,0,0,0.0,0.0,0,0.0,0,0,2,0
Jordan Pickford,Everton,GK,2024-2025,38,3420,0,1,0.0,0.2801412306725979,0,0.02631578947368421,0,2,7,0
Jeffrey Schlupp,Crystal Palace,,2024-2025,12,72,0,0,0.2102906517684459,0.3348583467304706,0,0.0,4,2,0,0
Craig Dawson,Wolves,DF,2024-2025,15,950,0,0,0.4068407323211431,0.0697851851582527,0,0.0,5,2,2,0
Jonny Evans,Man United,DF,2024-2025,7,306,0,0,0.0842704158276319,0.0,0,0.0,2,0,1,0
Adam Smith,Bournemouth,DF,2024-2025,25,1625,0,0,0.3261268213391304,0.4430896267294884,0,0.0,3,8,7,0
Fraser Forster,Tottenham,GK,2024-2025,7,630,0,0,0.0,0.0,0,0.0,0,0,0,0
Matt Targett,Newcastle,,2024-2025,2,12,0,0,0.0,0.0,0,0.0,0,0,0,0
Kyle Walker-Peters,Southampton,DF,2024-2025,33,2934,0,2,1.1614951640367508,2.7974178763106465,0,0.06134969325153374,20,23,5,0
Harrison Reed,Fulham,,2024-2025,12,81,0,0,0.1439509261399507,0.0789679586887359,0,0.0,3,1,2,0
Axel Tuanzebe,Ipswich,DF,2024-2025,22,1731,0,1,0.3537554126232862,0.6262782029807568,0,0.05199306759098787,4,5,3,1
Harry Winks,Leicester,MF,2024-2025,22,1532,0,2,0.1876087933778762,1.32591406814754,0,0.1174934725848564,10,17,4,0
Sam Johnstone,Wolves,GK,2024-2025,7,630,0,0,0.0,0.0490641593933105,0,0.0,0,1,0,0
Mason Holgate,Everton,,2024-2025,1,1,0,0,0.0,0.0,0,0.0,0,0,0,0
Joseph Gomez,Liverpool,DF,2024-2025,9,510,0,0,0.3742993529886007,0.0806920379400253,0,0.0,3,2,1,0
Luke Shaw,Man United,DF,2024-2025,7,352,0,0,0.031377512961626,0.5605076849460602,0,0.0,1,5,1,0
Tyrone Mings,Aston Villa,DF,2024-2025,14,1137,0,0,0.7991716582328081,0.1797054167836904,0,0.0,9,3,1,0
Alex Palmer,Ipswich,GK,2024-2025,13,1170,0,0,0.0,0.0210703182965517,0,0.0,0,1,2,0
Alisson,Liverpool,GK,2024-2025,28,2511,0,0,0.0,0.4981032609939575,0,0.0,0,1,0,0
Neto,Bournemouth,GK,2024-2025,2,180,0,0,0.0,0.0,0,0.0,0,0,0,0
Jorginho,Arsenal,MF,2024-2025,15,717,0,0,0.0592099986970424,0.4611985944211483,0,0.0,2,3,5,0
Federico Chiesa,Liverpool,FW,2024-2025,6,95,0,0,0.6147317513823509,0.2075449079275131,0,0.0,5,2,0,0
Sasa Lukic,Fulham,MF,2024-2025,30,2380,0,2,1.5360550973564386,3.099418031051755,0,0.07563025210084034,18,27,12,0
Emil Krafth,Newcastle,DF,2024-2025,12,314,0,0,0.0276889540255069,0.0589407011866569,0,0.0,1,1,2,0
Ben Mee,Brentford,DF,2024-2025,7,181,0,0,0.0,0.0,0,0.0,0,0,2,0
Ryan Fraser,Southampton,DF,2024-2025,8,314,0,0,0.0251516010612249,0.1558907814323902,0,0.0,1,2,0,1
Andrew Robertson,Liverpool,DF,2024-2025,33,2511,0,1,1.5656620487570765,4.881590306758881,0,0.03584229390681004,15,40,3,1
Lucas Digne,Aston Villa,DF,2024-2025,32,2413,0,4,0.7811353597790003,6.966049259528518,0,0.1491918773311231,13,36,4,0
Jefferson Lerma,Crystal Palace,DF,2024-2025,33,2274,0,1,0.8986045755445957,1.3882753169164062,0,0.0395778364116095,26,10,9,0
Emiliano Buendía,Aston Villa,,2024-2025,12,48,0,0,0.8230422083288431,0.0468223355710506,0,0.0,5,1,1,0
Alphonse Areola,West Ham,GK,2024-2025,26,2263,0,0,0.0,0.0,0,0.0,0,0,0,0
Rodri,Man City,MF,2024-2025,3,64,0,0,0.0,0.0520608685910701,0,0.0,0,1,0,0
Oleksandr Zinchenko,Arsenal,DF,2024-2025,15,500,0,1,0.4987206254154444,0.1286610011011362,0,0.18,10,3,1,0
Issa Diop,Fulham,DF,2024-2025,21,1332,0,0,0.4851377755403518,0.1430980395525694,0,0.0,5,3,2,0
Maxwel Cornet,Southampton,MF,2024-2025,2,71,0,0,0.0751236081123352,0.0,0,0.0,1,0,1,0
Ricardo Pereira,Leicester,DF,2024-2025,10,378,0,0,0.1111767999827861,0.0,0,0.0,2,0,1,0
Odsonne Edouard,"Crystal Palace,Leicester",MF,2024-2025,6,131,0,0,0.325688287615776,0.105933329090476,0,0.0,5,2,0,0
Álex Moreno,Nott'm Forest,DF,2024-2025,15,978,0,1,0.2170073073357343,1.076141320168972,0,0.09202453987730061,6,8,2,0
Emiliano Martinez,Aston Villa,GK,2024-2025,37,3206,0,0,0.0,0.2820240408182144,0,0.0,0,2,5,1
Kepa,Bournemouth,GK,2024-2025,31,2790,0,0,0.0683941841125488,0.0258998982608318,0,0.0,1,1,3,0
Kevin Danso,Tottenham,DF,2024-2025,10,840,0,0,0.273663411848247,0.0684588281437754,0,0.0,7,2,0,0
Wilfred Ndidi,Leicester,MF,2024-2025,28,2368,0,5,1.973463961854577,2.7866385113447905,0,0.1900337837837838,22,17,8,0
Nick Pope,Newcastle,GK,2024-2025,28,2520,0,0,0.0,0.0770820155739784,0,0.0,0,1,2,0
Scott McTominay,Man United,,2024-2025,2,15,0,0,0.1260273307561874,0.0,0,0.0,1,0,0,0
Aaron Ramsdale,Southampton,GK,2024-2025,30,2700,0,0,0.0,0.0,0,0.0,0,0,2,0
Diego Carlos,Aston Villa,DF,2024-2025,10,828,0,0,0.9728685170412064,0.0,0,0.0,4,0,1,0
Ibrahim Sangare,Nott'm Forest,MF,2024-2025,13,584,0,1,0.0163659416139125,0.7156692324206233,0,0.1541095890410959,1,5,3,0
Kenny Tete,Fulham,DF,2024-2025,22,1790,0,2,1.595350006595254,0.6750296298414469,0,0.10055865921787709,25,9,5,0
Philip Billing,Bournemouth,MF,2024-2025,10,152,0,0,0.3570811375975609,1.401890940964222,0,0.0,5,8,1,0
Charlie Taylor,Southampton,DF,2024-2025,8,341,0,0,0.0,0.055130336433649,0,0.0,0,1,1,0
Lewis Dunk,Brighton,DF,2024-2025,25,2083,0,0,1.1070273127406836,0.5168026331812143,0,0.0,12,5,5,0
Solly March,Brighton,MF,2024-2025,8,149,0,0,0.0514545002952218,0.2339879721403122,0,0.0,2,3,2,0
Ederson,Man City,GK,2024-2025,26,2324,0,4,0.0,1.1925887912511826,0,0.1549053356282272,0,4,4,0
Victor Lindelöf,Man United,DF,2024-2025,16,679,0,0,0.0,0.1225271690636873,0,0.0,0,3,1,0
Will Hughes,Crystal Palace,MF,2024-2025,33,2160,0,3,0.9225301016122104,3.364077143371105,0,0.125,22,33,11,0
Daichi Kamada,Crystal Palace,MF,2024-2025,34,1527,0,0,0.9768787622451782,1.8320643100887537,0,0.0,20,20,4,1
Timothy Castagne,Fulham,DF,2024-2025,24,1627,0,1,0.3606655541807413,0.8743397928774357,0,0.05531653349723417,8,10,1,0
Nélson Semedo,Wolves,DF,2024-2025,34,2897,0,4,0.9947248105891048,2.185204219073057,0,0.12426648256817396,18,25,8,0
Pau Torres,Aston Villa,DF,2024-2025,24,2011,0,0,0.3871210906654596,0.1446397490799427,0,0.0,8,3,2,0
Boubakary Soumare,Leicester,MF,2024-2025,31,2182,0,0,0.2561326660215854,0.3478336622938514,0,0.0,7,10,8,0
Joachim Andersen,"Crystal Palace,Fulham",DF,2024-2025,30,2678,0,0,0.8852448537945747,0.280512185767293,0,0.0,20,4,7,1
Hamza Choudhury,Leicester,MF,2024-2025,4,125,0,0,0.0,0.3993283584713936,0,0.0,0,2,0,0
Manuel Akanji,Man City,DF,2024-2025,26,2017,0,0,1.0098738074302671,0.4246870186179876,0,0.0,15,9,3,0
Martin Dubravka,Newcastle,GK,2024-2025,10,900,0,0,0.0,0.0,0,0.0,0,0,0,0
Joe Willock,Newcastle,MF,2024-2025,32,1043,0,2,2.0176452044397597,3.1126333381980658,0,0.1725790987535954,18,22,4,0
Konstantinos Mavropanos,West Ham,DF,2024-2025,33,2028,0,0,1.6612843237817287,0.6751785762608051,0,0.0,18,5,4,1
Jean-Clair Todibo,West Ham,DF,2024-2025,27,1833,0,0,0.2778066396713257,0.0297562526538968,0,0.0,5,2,3,0
Willy Boly,Nott'm Forest,DF,2024-2025,6,139,0,0,0.082951508462429,0.0,0,0.0,1,0,1,0
Matz Sels,Nott'm Forest,GK,2024-2025,38,3420,0,0,0.0,0.5219662692397833,0,0.0,0,2,4,0
Robin Olsen,Aston Villa,GK,2024-2025,4,211,0,0,0.0,0.0,0,0.0,0,0,0,0
Arijanet Muric,Ipswich,GK,2024-2025,18,1620,0,0,0.0,0.0,0,0.0,0,0,1,0
Mark Flekken,Brentford,GK,2024-2025,37,3275,0,2,0.0,0.5480153113603592,0,0.05496183206106871,0,2,1,0
Sean Longstaff,Newcastle,MF,2024-2025,25,758,0,0,0.4065457545220852,0.2086685169488191,0,0.0,6,4,2,0
Mathias Jensen,Brentford,MF,2024-2025,24,819,0,2,0.2693682108074426,1.9875654987990856,0,0.21978021978021978,6,16,2,0
Sergio Reguilón,Tottenham,DF,2024-2025,4,187,0,0,0.1322939433157444,0.0298521239310503,0,0.0,2,1,2,0
Oliver Skipp,Leicester,MF,2024-2025,24,1095,0,0,0.2431342415511608,0.3397108828648925,0,0.0,5,9,8,0
Jason Steele,Brighton,GK,2024-2025,2,180,0,0,0.0,0.0,0,0.0,0,0,0,0
Benoit Badiashile Mukinayi,Chelsea,DF,2024-2025,5,323,0,0,0.0,0.0,0,0.0,0,0,0,0
Diogo Dalot,Man United,DF,2024-2025,33,2821,0,3,1.6990829594433308,2.5788643723353744,0,0.0957107408720312,24,26,5,0
Ben White,Arsenal,DF,2024-2025,17,1192,0,2,0.4337807316333055,1.4500398263335228,0,0.15100671140939598,9,10,2,0
Max Kilman,West Ham,DF,2024-2025,38,3348,0,1,1.714818298816681,0.9288761988282204,0,0.026881720430107524,13,16,5,0
Tyler Adams,Bournemouth,MF,2024-2025,28,1965,0,3,1.4070341289043429,1.5068945437669754,0,0.13740458015267176,9,18,7,0
Carlos Vinicius,Fulham,,2024-2025,3,8,0,0,0.054843533784151,0.0,0,0.0,1,0,0,0
Miguel Almirón,Newcastle,FW,2024-2025,9,138,0,0,0.4826713129878044,0.1663767416030168,0,0.0,6,3,0,0
James Garner,Everton,DF,2024-2025,21,1603,0,1,0.6001764945685863,1.215124419890344,0,0.056144728633811605,12,12,5,0
Mark Travers,Bournemouth,GK,2024-2025,5,450,0,0,0.0,0.0,0,0.0,0,0,0,0
Wesley Fofana,Chelsea,DF,2024-2025,14,1192,0,0,0.2047538962215185,0.5259660333395004,0,0.0,3,6,7,0
Max Aarons,Bournemouth,DF,2024-2025,3,78,0,0,0.0,0.0,0,0.0,0,0,0,0
Ben Godfrey,Ipswich,DF,2024-2025,3,165,0,0,0.0,0.0,0,0.0,0,0,1,0
Adam Webster,Brighton,DF,2024-2025,14,888,0,0,0.3764696484431624,0.3818966709077358,0,0.0,5,3,1,0
Dean Henderson,Crystal Palace,GK,2024-2025,38,3420,0,0,0.0109276687726378,0.1058704666793346,0,0.0,1,2,3,0
Caoimhin Kelleher,Liverpool,GK,2024-2025,10,900,0,0,0.0,0.0,0,0.0,0,0,0,0
Takehiro Tomiyasu,Arsenal,,2024-2025,1,3,0,0,0.1668418496847152,0.0,0,0.0,1,0,0,0
Igor Julio,Brighton,DF,2024-2025,13,959,0,0,0.0835000127553939,0.1427631359547376,0,0.0,1,2,4,0
Billy Gilmour,Brighton,MF,2024-2025,2,94,0,0,0.0845430567860603,0.0,0,0.0,1,0,0,0
Lloyd Kelly,Newcastle,DF,2024-2025,10,303,0,1,0.2711419649422169,0.3751976788043976,0,0.297029702970297,3,2,2,0
Brandon Austin,Tottenham,GK,2024-2025,1,90,0,0,0.0,0.0,0,0.0,0,0,0,0
Boubacar Traore,Wolves,,2024-2025,1,1,0,0,0.0,0.0,0,0.0,0,0,0,0
Tyrick Mitchell,Crystal Palace,DF,2024-2025,37,3131,0,5,1.4204330071806908,7.109685024246573,0,0.14372404982433726,12,41,2,0
Nicolás Domínguez,Nott'm Forest,MF,2024-2025,34,1979,0,1,1.9267512233927848,1.4655370814725757,0,0.045477513895907026,21,13,9,0
Guido Rodríguez,West Ham,MF,2024-2025,23,1179,0,1,0.1626910055056214,0.2192824073135852,0,0.07633587786259542,8,4,6,0
Sander Berge,Fulham,MF,2024-2025,31,2242,0,0,0.4260362591594457,0.7261993493884802,0,0.0,3,18,6,0
Daniel Podence,Wolves,,2024-2025,2,36,0,0,0.0448911525309085,0.0,0,0.0,1,0,0,0
Armando Broja,Everton,FW,2024-2025,10,314,0,0,0.1044619902968406,0.174777690321207,0,0.0,4,4,1,0
Jarrad Branthwaite,Everton,DF,2024-2025,30,2510,0,1,1.381387365050614,0.6528244335204363,0,0.035856573705179286,10,3,4,0
Jorge Cuenca,Fulham,DF,2024-2025,8,352,0,0,0.0159940905869007,0.0,0,0.0,1,0,0,0
Tommy Doyle,Wolves,MF,2024-2025,24,431,0,1,0.3624565312638879,0.3475889293476939,0,0.20881670533642693,9,7,1,0
Luke Thomas,Leicester,DF,2024-2025,14,1123,0,0,0.3486927710473537,0.4181743627414107,0,0.0,5,8,3,0
Sven Botman,Newcastle,DF,2024-2025,8,424,0,0,0.7963292263448238,0.6542200557887554,0,0.0,5,2,1,0
Cheick Oumar Doucoure,Crystal Palace,MF,2024-2025,13,439,0,0,0.3654052410274744,0.0139362784102559,0,0.0,7,1,1,0
Kalvin Phillips,Ipswich,MF,2024-2025,19,1247,0,0,0.4593092957511544,0.3231524731963873,0,0.0,11,5,4,1
Dara O&#039;Shea,Ipswich,DF,2024-2025,35,3129,0,2,1.564998717047274,0.7030826602131128,0,0.05752636625119847,22,3,6,0
Joël Veltman,Brighton,DF,2024-2025,21,1714,0,0,0.7976804617792368,0.7567648589611053,0,0.0,6,6,5,0
Stefan Ortega Moreno,Man City,GK,2024-2025,13,1096,0,0,0.0,0.0,0,0.0,0,0,1,0
Wataru Endo,Liverpool,MF,2024-2025,20,226,0,0,0.0,0.0670378655195236,0,0.0,0,2,0,0
Iyenoma Destiny Udogie,Tottenham,DF,2024-2025,25,1949,0,1,0.3497059941291809,1.2607239335775375,0,0.046177526936890714,5,16,2,0
Konstantinos Tsimikas,Liverpool,DF,2024-2025,18,819,0,1,0.5641818605363369,2.597917679697275,0,0.10989010989010989,4,16,2,0
Guglielmo Vicario,Tottenham,GK,2024-2025,24,2160,0,0,0.0,0.0,0,0.0,0,0,1,0
Conor Townsend,Ipswich,DF,2024-2025,6,326,0,1,0.0434189923107624,0.8038922008126974,0,0.27607361963190186,1,4,1,0
Antonee Robinson,Fulham,DF,2024-2025,36,3166,0,10,1.0538900159299374,4.40445202216506,0,0.28427037271004424,16,43,9,0
Rúben Dias,Man City,DF,2024-2025,27,2262,0,0,1.335742843337357,0.2133867554366588,0,0.0,21,5,4,0
Vladimir Coufal,West Ham,DF,2024-2025,22,1052,0,0,0.3236212413758039,0.5783606953918934,0,0.0,7,8,5,0
Malo Gusto,Chelsea,DF,2024-2025,32,1838,0,1,1.5562147982418535,1.343290576711297,0,0.04896626768226333,22,22,4,0
Robert Sánchez,Chelsea,GK,2024-2025,32,2880,0,0,0.0,0.0161880310624837,0,0.0,0,1,5,0
Radu Dragusin,Tottenham,DF,2024-2025,16,1264,0,0,0.1772594656795263,0.5174331180751324,0,0.0,5,4,1,0
Christian Walton,Ipswich,GK,2024-2025,7,630,0,0,0.0,0.0168508626520633,0,0.0,0,1,0,0
Filip Jorgensen,Chelsea,GK,2024-2025,6,540,0,0,0.0,0.0,0,0.0,0,0,0,0
Jakub Moder,Brighton,,2024-2025,4,4,0,0,0.0,0.2036565337330103,0,0.0,0,3,0,0
Dane Scarlett,Tottenham,,2024-2025,3,25,0,1,0.2694910168647766,0.0761205926537513,0,3.5999999999999996,1,1,0,0
Valentino Livramento,Newcastle,DF,2024-2025,37,2848,0,1,0.3249886427074671,3.147453512996435,0,0.03160112359550562,6,25,1,0
Tim Iroegbunam,Everton,MF,2024-2025,18,533,0,1,0.2085244953632354,0.1753694489598274,0,0.16885553470919323,5,3,4,0
David Raya,Arsenal,GK,2024-2025,38,3420,0,0,0.0,0.0936360284686088,0,0.0,0,1,3,0
Kristoffer Ajer,Brentford,DF,2024-2025,24,1450,0,0,1.142456667497754,1.4724152060225606,0,0.0,9,9,5,0
Rico Henry,Brentford,,2024-2025,5,80,0,0,0.0,0.0,0,0.0,0,0,0,0
Frank Onyeka,Brentford,,2024-2025,2,18,0,0,0.0,0.0,0,0.0,0,0,0,0
Mads Roerslev,Brentford,DF,2024-2025,19,1079,0,2,0.2219500774517655,2.790492530912161,0,0.16682113067655235,5,14,2,0
Armel Bella Kotchap,Southampton,DF,2024-2025,4,331,0,0,0.2672498822212219,0.0,0,0.0,1,0,0,0
Kiernan Dewsbury-Hall,Chelsea,MF,2024-2025,13,234,0,1,0.0894354954361915,0.8056687042117119,0,0.3846153846153846,1,3,0,0
José Sá,Wolves,GK,2024-2025,29,2610,0,0,0.0,0.0653070900589227,0,0.0,0,3,2,0
